Name,Level,Power,Damage,Ability,Description,Bonus
Deminisher,3,4,6,- 2 Opp Potion Min 5,"Always look after your stash, or the Deminisher might just half it. Small and nimble, he takes everything he can get his hands on, though he is only there for a quick bite of your stuff. You might mistake him for a child, as he is rather small, but don't let his size fool you, as he is well equipped with daggers and lockpicks",Team: + 3 Attack
Rogue Veteran,4,6,6,- 2 Opp Power Min 6,"Knowing the guard rotation in and out and having served in an army, the Rogue Veteran uses his knowledge to always be a step ahead. Heavy metal armor and his trusty crossbow are as important as knowing where to go and where to shoot.",Team: + 3 Attack
Watcher,3,5,4,- 3 Opp Damage Min 3,"The Watcher is there to overlook the area of the camp and is camouflaged with sticks and leaves integrated into his leather armor. In case of a battle he only has a small dagger, but that is usually enough.",Team: + 3 Attack
Former Trader,4,7,3,+ 3 Potion,"Posing as a merchant, the Former Trader not only still has a small wagon with all kinds of goods he sells, but also his formal merchant clothing at his disposal. A part of his income is still earned legitimately, though those that buy off him often get robbed.",Team: + 3 Attack
Rusher,3,6,6,Backlash: - 3 Potion Min 0,"Always the first to take charge in a raid, the Rusher in his light leather armor is always at the front with his shortsword and buckler. Usually, he is also the first to need a healing potion.",Team: + 3 Attack
Vengeful Impersonator,2,6,2,Courage: Stop Opp Bonus,"The Vengeful Impersonator has a talent for appearing as someone else and uses this to infiltrate gatherings of his enemies in order to disrupt them. His outfits range from colorful noble outfits to the dirty rags of a homeless person, depending on what is needed for the job.",Team: + 3 Attack
Stash Burner,5,7,6,Damage = Opp Damage,"An arsonist at heart, the Stash Burner can always be found with flint and steel in his hands. Some dry hay is always peeking out of his pockets and he carries this weird black tar around with him in bottles.",Team: + 3 Attack
Fallback Man,3,7,2,Defeat: + 2 Life,The Fallback Man is there when your first plan doesn't work out as intended. He is always on standby and ready to step in to help you if you fucked up.,Team: + 3 Attack
Former Worker,2,5,3,Revenge: + 2 Power,"Kicked from his formed job, the Former Worker was a craftsmen that got fired. As nothing else cuts it, he became a bandit. He still wears his old clothing though, but now it is dirty and most of it is different shades of brown.",Team: + 3 Attack
Last One Standing,4,6,5,Revenge: + 3 Damage,"The Last One Standing once belonged to another group of bandits, but was nearly killed when his whole group got killed. He carries the weapons of his brethren and many scars into battle.",Team: + 3 Attack
Hateful Targeter,5,6,8,Revenge: Stop Opp Bonus,"More often than not, money is money, but for the Hateful Targeter, there needs to be something personal in the mix before he goes out robbing people. Equipped with a heavy metal mace, he may leave his targets alive, but they will be broken for life, physically and mentally.",Team: + 3 Attack
Childfinder,4,8,3,Steal - 1 Opp Life Min 0,"Friendly looking and accomodating, the Childfinder is able to ransom quite a lot of money. He looks like a normal citizen, but is trained and ready to kick ass at every given moment. Also, he takes your child.",Team: + 3 Attack
Street Lurker,2,6,2,Steal - 1 Opp Potion Min 5,"Waiting in the dark corners of the city, the Street Lurker lies in wait to take from the unwary. He uses a dark cloak to appear hidden in the shadows of the buildings.",Team: + 3 Attack
Trap Layer,3,5,4,Stop Opp Ability,"Sometimes mistaken for a hunter, the Trap Layer has all kinds of bear traps, smoke bombs and other equipment on his belt and in his backpack. His clothing is rather uninteresting and what common folk would wear, but a hood is always in the picture.",Team: + 3 Attack
Outcast,2,5,3,Stop: Steal - 1 Opp Potion Min 1,"Wrapped in dirty rags, the Oatcast will do anything to get back at those who wronged him, though taking from the innocent is also alright.",Team: + 3 Attack
Former Noble,5,6,7,Team: - 3 Opp Attack Min 12,"As a former noble, the Former Noble still has some connections that allow him to know where nobles will travel. Even though he now wears a heavy leather armor, he can't let go of his golden rings.",Team: + 3 Attack
Inciter,5,7,5,Team: + 1 Damage,"Rarely unable to procure the equipment one needs, the Inciter has a silver tongue, literally. He always knows what to say to get his peers riled up and ready to take some caravans on.",Team: + 3 Attack
Old Captain,4,4,6,Team: + 1 Power,"This Old Captain stepped out of retired to get some more money. He kept his heavy armor and his heavy greatsword, but he might need some help putting it on.",Team: + 3 Attack
Camp Cook,3,4,5,Team: + 3 Attack,"Out in the forest, the Camp Cook can create a hearty meal from stolen goods. Don't ever get on his bad side, because else the entire camp will hunt you down. He still wears his old white cooks clothing, though they have become a bit dirty over the years.",Team: + 3 Attack
