Deckname,Card1,Card2,Card3,Card4,Card5,Card6,Card7,Card8
Aberration-Assassin,Hulking Frogman,Void Horror,Ripper,Gobbler,Overwhelmer,Cutthroat,Poisoner,Dissolver
Aberration-Cleric,Brain Dragon,Slitherer,Razer,Eye Wolf,Pastor,Prophet,Acolyte,Mass Servant
Crafter-Mage,Stonemason,Carpenter,Potter,Toymaker,Aspiring Mage,Transmutation Mage,Student,Enchantment Mage
Cultist-Invader,Masochist,Flesh Gatherer,Goat Provider,Bloodletter,Flanker,Wallclimber,Archer,Cannonist
Assassin-Cleric,Blackmailer,Infiltrator,Fake Colleague,Suicide Bomber,Hollow Cleric,War Cleric,Nightmare Cleric,Preacher
Farmer-Junkie,Shepherd,Trapper,Bison Breeder,Crop Master,Bouncer,Injecter,Drunkard,Chainsmoker
Crafter-Parasite,Recycler,Armorer,Baker,Glasblower,Pandemic Oven,Cannibalistic Consumer,Separating Splitter,Shapechanger
Cultist-Farmer,Rampaging Demon,Slaughterer,Sacrificial Lamb,Child Sacrifice,Stable Keeper,Council Member,Vintner,Distant Relative
Monster-Thief,Flooded Spirit,Poison Lizard,Beast of the Fields,Giant Centipede,Con Artist,Child Thief,Robber,Thug
Merchant-Parasite,Eldest Son,Fruit Vendor,Woodcutter,Oppressed Offspring,Gigantic Leech,Acidic Former,Cannibalistic Consumer,Vile Infector
Noble-Thief,Homebrewer,Mugger,Burglar,Pickpocket,Insider,Godfather,Carriage Driver,Book Keeper
Mage-Merchant,Herb Merchant,Ore Merchant,Aspiring Merchant,Luxury Goods Merchant,Student,Dispeller,Evocation Mage,Aspiring Mage
Invader-Junkie,Powder Master,Piller,Spiker,Glue Sniffer,Traveling Cook,Ration Keeper,Field Medic,Polisher
Merchant-Monster,Supply Chain Puppeteer,Jewelry Merchant,Vendor,Fake Merchant,Troll,Slicing Mantis,Blood Fly,Hell Hornet
