Deckname,Card1,Card2,Card3,Card4,Card5,Card6,Card7,Card8
Aberration1,Brain Dragon,Razer,Enabler,Ripper,Devourer,Shellshocker,Gobbler,Green Gazer
Aberration2,Tendril Bearer,Amalgamation,Ripper,Gobbler,Razer,Green Gazer,Cloaker,Doppelganger
Aberration3,Hulking Frogman,Brain Eater,Ripper,Bone Monger,Cloaker,Slitherer,Splitter,Eye Wolf
Assassin1,Coordinator,Tracker,Sister Jealousy,Number A,Detective,Dissolver,Madlad,Suicide Bomber
Assassin2,Brother Rage,Mr. Plan Z,Frontman,Fake Colleague,Detective,Tracker,Poisoner,Overwhelmer
Assassin3,Mass Murderer,Butcher,Blackmailer,Tracker,Detective,Infiltrator,Coordinator,Separator
Bandit1,Former Noble,Inciter,Old Captain,Camp Cook,Vengeful Impersonator,Former Worker,Street Lurker,Outcast
Bandit2,Trap Layer,Camp Cook,Fallback Man,Rusher,Deminisher,Former Trader,Childfinder,Former Worker
Bandit3,Hateful Targeter,Last One Standing,Rogue Veteran,Watcher,Rusher,Street Lurker,Outcast,Vengeful Impersonator
Cleric1,Vengeance Cleric,Death Cleric,Mass Servant,Preacher,Mass Preparer,Pastor,Inquisitor,Union Cleric
Cleric2,Union Cleric,Life Cleric,Stability Cleric,Mass Preparer,Mass Servant,Nightmare Cleric,Acolyte,Nature Cleric
Cleric3,Tempest Cleric,Nature Cleric,Acolyte,Nightmare Cleric,Preacher,War Cleric,Union Cleric,Prophet
Crafter1,Builder,Tailor,Carpenter,Scrivener,Goldsmith,Toymaker,Storage Keeper,Stonemason
Crafter2,Head Alchemist,Blacksmith,Leatherworker,Recycler,Toymaker,Apprentice,Storage Keeper,Glasblower
Crafter3,Cobbler,Builder,Baker,Recycler,Potter,Scrivener,Goldsmith,Tailor
Cultist1,Cult Leader,Well Keeper,Ritualist,Regular Bleeder,Flesh Gatherer,Sacrificial Lamb,Child Sacrifice,Bloodletter
Cultist2,Rampaging Demon,Contracted Devil,Zealot,Regular Bleeder,Curse Spreader,Frenzied Follower,Child Sacrifice,Bloodletter
Cultist3,Slaughterer,Guru,Curse Spreader,Flesh Gatherer,Sacrificial Lamb,Goat Provider,Frenzied Follower,Regular Bleeder
Farmer1,Village Elder,Grandma,Silo Keeper,Bison Breeder,Data Forger,Fruit Vendor,Oppressed Offspring,Expropriated Parent
Farmer2,Woodcutter,Pitchforker,Grandma,Barn Builder,Shepherd,Fruit Vendor,Transporter,Crop Master
Farmer3,Village Cook,Silo Keeper,Transporter,Crop Master,Bison Breeder,Pitchforker,Data Forger,Grandma
Invader1,Warlord,Scout,Field Medic,Pillager,Archer,Sharpener,Cannonist,Brandisher
Invader2,Foreign King,Commander,Polymath,Scout,Field Medic,Pillager,Archer,Wallclimber
Invader3,Ration Keeper,Polisher,Traveling Cook,Wallclimber,Foreign Soldier,Brandisher,Scout,Cannonist
Junkie1,Ultraspritzer,Moonshiner,Overdoser,Herbalist,Glue Sniffer,Dope Fiend,Gambler,Frog Licker
Junkie2,Piller,Dealer,Overdoser,Spiker,Chainsmoker,Injecter,Shroomer,Frog Licker
Junkie3,Powder Master,Injecter,Chainsmoker,Overdoser,Dealer,Glue Sniffer,Gambler,Bouncer
Mage1,Destruction Mage,Iron Mage,Potion Keeper,Student,Librarian,Transmutation Mage,Necromancer,Magical Enchanter
Mage2,Ancient Scholar,God Hater,Spellblade,Dispeller,Librarian,Student,Conjuration Mage,Illusion Mage
Mage3,Librarian,Evocation Mage,Ancient Scholar,Professor,Dispeller,Necromancer,Conjuration Mage,Enchantment Mage
Merchant1,Guild Leader,Potion Merchant,Aspiring Merchant,Food Merchant,Vendor,Fake Merchant,Weapon Merchant,Herb Merchant
Merchant2,Shipping Merchant,Ore Merchant,Herb Merchant,Paid Guard,Remedy Merchant,Auctioneer,Supplier,Luxury Goods Merchant
Merchant3,Envious Merchant,Jewelry Merchant,Supply Chain Puppeteer,Fake Merchant,Vendor,Aspiring Merchant,Paid Guard,Supplier
Monster1,Blood Fly,Giant Centipede,Rabies Bison,Beast of the Fields,Sea Serpent,Flooded Spirit,Snapper,Storm Shark
Monster2,Snapper,Hell Hornet,Werewolf,Troll,Burrower,Poison Lizard,Storm Shark,Hydra
Monster3,Sandworm,Mutated Gorilla,Living Gargoyle,Rabies Bison,Giant Centipede,Storm Shark,Snapper,Poison Lizard
Noble1,Bodyguard,Godfather,Vintner,Carriage Driver,Spoiled Brat,Housekeeper,Private Doctor,Book Keeper
Noble2,Book Keeper,Rebel Child,Butler,Distant Relative,Courtesan,Stable Keeper,Sponsor,Second in Line
Noble3,Council Member,Courtesan,Stable Keeper,Book Keeper,Pact Keeper,Carriage Driver,Vintner,Rebel Child
Parasite1,Gigantic Leech,Spore King,Acidic Former,Cannibalistic Consumer,Delayed Spreader,Airborne Integrator,Combining Mass,Shapeworm
Parasite2,Shapeworm,Contagious Virus,Combining Mass,Bloater,Vile Infector,Airborne Integrator,Delayed Spreader,Cannibalistic Consumer
Parasite3,Shapeworm,Combining Mass,Contagious Virus,Pandemic Oven,Shapechanger,Vile Infector,Overgrowth Shroom,Rapid Overtaker
Thief1,Mastermind,Stash Keeper,Chokehold,Pickpocket,Lookout,Child Thief,Scammer,Homebrewer
Thief2,Burglar,Robber,Mugger,Homebrewer,Societary Leech,Con Artist,Con Artist,Stash Keeper
Thief3,Trade Route Camper,Smuggler,Childless Parent,Thug,Child Thief,Lookout,Pickpocket,Fortune Teller
