Deckname,Card1,Card2,Card3,Card4,Card5,Card6,Card7,Card8
AberrationBig,Brain Dragon,Void Horror,Enabler,Evil Eye,Brain Eater,Hulking Frogman,Amalgamation,Tendril Bearer
AssassinBig,Master Tactician,Overwhelmer,Sister Jealousy,Number B,Brother Rage,Mr. Plan Z,Blackmailer,Butcher
BanditBig,Old Captain,Former Noble,Inciter,Childfinder,Hateful Targeter,Last One Standing,Stash Burner,Former Trader
ClericBig,Vengeance Cleric,Death Cleric,Oracle,War Cleric,Life Cleric,Water Cleric,Peace Cleric,Prophet
CrafterBig,Builder,Stonemason,Armorer,Carpenter,Enchanter,Head Alchemist,Blacksmith,Leatherworker
CultistBig,Ritualist,Cult Leader,Heretic,Masochist,Well Keeper,Rampaging Demon,Guru,Slaughterer
FarmerBig,Village Elder,Trapper,Druid,Land Owner,Expropriated Parent,Barn Builder,Eldest Son,Woodcutter
InvaderBig,Sharpener,Flanker,Foreign King,Polymath,Warlord,Cannonist,Commander,Strategist
JunkieBig,Trip Guide,Herbalist,Ultraspritzer,Piller,Powder Master,Opiod User,Bouncer,Moonshiner
MageBig,Ancient Scholar,God Hater,Counterspeller,Iron Mage,Aspiring Mage,Evocation Mage,Destruction Mage,Abjuration Mage
MerchantBig,Guild Leader,Supply Chain Puppeteer,Envious Merchant,Luxury Goods Merchant,Weapon Merchant,Potion Merchant,Monopoly Keeper,Jewelry Merchant
MonsterBig,Hydra,Mutated Gorilla,Sea Serpent,Slicing Mantis,Red Dragon,Beast of the Fields,Mountain Troll,Living Gargoyle
NobleBig,Insider,Council Member,Second in Line,Private Doctor,Bodyguard,Pact Keeper,Gardener,Godfather
ParasiteBig,Shapeworm,Hookvine,Plaguebearer,Gigantic Leech,Spore King,Bloater,Massive Gasser,River Stench
ThiefBig,Mastermind,Stash Keeper,Noble's Horror,Chokehold,Trade Route Camper,Smuggler,Childless Parent,Thug
