Name,Level,Power,Damage,Ability,Description,Bonus
Curse Master,5,7,6,Support: - 1 Opp Damage Min 4,Cultists; The curse master stands amidst his pentagram which he uses to curse his enemies. He wears dark robes and his face is cloaked in shadows while blood runs down his robes onto the floor.,Cancel Own Ability
Drencher,5,8,3,Support: - 1 Opp Life Min 6,"Parasites; A fly-like creature that spews green, slimy liquid on anything close to it. Every flap of its wings slings droplets in its vicinity.",Cancel Own Ability
Party Queen,5,7,7,Support: - 1 Opp Potion Min 5,"Junkies; The Party Queen always has the best potions and powders going for her. Every color can be seen on her brown cloak, even those you didn't know ever existed.",Cancel Own Ability
Intimidator,5,7,5,Support: - 1 Opp Power Min 5,"Invaders; Looking like he is on steroids and mostly without a shirt, the Intimidator is there to keep idiots in check. Whether that is through his presence or a show of force depends on the idiots that try to disturb the invasion.",Cancel Own Ability
Embargo Tender,5,6,4,Support: - 8 Opp Attack Min 12,Merchants; A shrewd businessman in fancy clothing that takes coin in exchange for keeping others out from the city. The highest bidder always wins. He is dressed in fine robes and always has paper and a quill at the ready.,Cancel Own Ability
Buff Mage,5,7,6,Support: + 1 Damage,"Mages; A mage specialized in buffing its allies with their spells. The robes are heavy and of silver color, almost resembling a chain armor.",Cancel Own Ability
Celestial Messenger,5,7,6,Support: + 1 Life,Clerics; An angelic figure with white wings and pale blueish skin that brings the message of the gods from above. It brings scrolls as well as spoken messages.,Cancel Own Ability
Fence,5,8,5,Support: + 1 Potion,"Thieves; Lurking at the corner of alleyways and in the underground of the city, the Fence takes any goods and produces valid counteroffers, for a price. But don't let the slender figure fool you, as daggers await you under their brown cloak.",Cancel Own Ability
Amplifier,5,6,7,Support: + 1 Power,Aberrations; A large fleshy mass of multicolored tumors that magically enhances its allies.,Cancel Own Ability
Planner,5,7,6,Support: + 4 Attack,"Assassins; Mostly sitting in his small, dark room, the Planner enjoys the candle light that brightens the building plans of noble houses, palaces and other local establishments. His clothing is unusually normal.",Cancel Own Ability
Chimera,5,8,7,Support: All Draws are won,"Monsters; A stitched together monster with different animal parts. It has multiple heads, which may be that of a monkey, a snake, a lion, a wolf or a spider.",Cancel Own Ability
Hunter,5,6,5,Support: Courage: + 3 Power,"Farmers; Equipped with a heavy crossbow, leather armor and multiple traps, the Hunter keeps dangerous animals away from the farms, but also uninvited visitors.",Cancel Own Ability
